Abbrecherquote	Abbruchquote
Anwalt	Rechtsvertretung; gesetzliche Vertretung in Rechtsangelegenheiten; Mitglied der Anwaltschaft
Anwaltskosten	Kosten für die Rechtsvertretung
Anwärter	Person im Vorbereitungsdienst
Anwender (sg.)	anwendende Person; 
Anwender (pl.)	Nutzende; Anwendende; Personen, die ... anwenden; Anwendung
anwenderbezogen	anwendungsbezogen; praxisbezogen; verwendungsbezogen; menschbezogen
Anwenderfreundlichkeit	Verwendungsfreundlichkeit
Anwohner (pl.)	alle, die in dieser Straße wohnen; Anwohnende; Nachbarschaft
Apotheker (pl.)	(approbierte) Arzneikundige; approbierte pharmazeutische Fachkräfte
... Fragen Sie Ihren Arzt oder Apotheker.	... Holen Sie sich ärztlichen oder pharmazeutischen Rat. / Holen Sie sich bei Fragen ärztlichen Rat oder erkundigen Sie sich in Ihrer Apotheke.
Arbeiter (sg.)	Arbeitskraft
Arbeiter (pl.)	Erwerbstätige; Belegschaft; Beschäftigte; Arbeitskräfte
Arbeiterklasse	arbeitende Klasse
Arbeitgeber (sg.)	Führungskraft; arbeitgebendes Unternehmen; Person, die Arbeitsplätze zur Verfügung stellt; [im Arbeitsvertrag konkret:] Firma, Unternehmen, Gesellschaft,Genossenschaft, Einrichtung, Institution, Amt, Behörde; Arbeitsstelle ...
Arbeitgeber (pl.)	Arbeitgebende; Betriebe; Unternehmen
Arbeitgeberattraktivität	Arbeitsplatzattraktivität
Arbeitgebermarke	Unternehmensmarke; Employer Branding
Arbeitgebermarketing	Marketing für Arbeitgebende
Arbeitgebervorteile	Firmenvorteile; Unternehmensvorteile
Arbeitnehmer (sg.)	angestellte Person; beschäftigte Person
Arbeitnehmer (pl.)	Beschäftigte; Arbeitskräfte; Belegschaft; Personal; Erwerbstätige
Arbeitnehmervertreter	Arbeitnehmendenvertretung; Betriebsrat; Personalrat; Beschäftigtenvertretung
Arbeitsdirektor	Arbeitsdirektion
Arbeitskollegen	Teammitglieder
Archäologen	in der Archäologie tätige Person
Architekt	Architekturschaffende Person; Baukunstgestaltende Person
Architekten	Architekturschaffende
Archivar	Fachkraft für Archivwesen
Archivare	Archivierende
Arzt	Person im ärztlichen Dienst; ärztliches Fachpersonal
Arztausweis	ärztlicher Ausweis
Ärzte	ärztliches (Fach-)Personal; (ggf. Ärzteschaft)
... Anmeldung beim Schul-, Haus- oder Kinderarzt ... privat- oder schulärztliche Anmeldung
... Hilfe eines Arztes	... ärztliche Hilfe
... Fragen Sie Ihren Arzt oder Apotheker.	... Holen Sie sich ärztlichen oder pharmazeutischen Rat. / Holen Sie sich bei Fragen ärztlichen Rat oder erkundigen Sie sich in Ihrer Apotheke.
... Rat des Arztes	... ärztlicher Rat
Arztbesuch	ärztlicher Kontakt; ärztliche Sprechstunde; Besuch der ärztlichen Sprechstunde; ärztliche Visite
Entlassungsbrief; Entlassbericht; ärztlicher/medizinischer (Abschluss-)Bericht; ärztliche Epikrise; ärztlicher Brief; (ärztlicher) Befundbericht; ärztliches
Arztbrief	Informationsschreiben; ärztliche Information
Arztgeheimnis	ärztliche Schweigepflicht
Arzthelferinnen	Medizinische Fachangestellte; medizinsches Fachpersonal
Arztkoffer /-köfferchen	Behandlungstasche; Medizinkoffer /-köfferchen
Arztkosten	(ärztliche) Behandlungskosten; Kosten für medizinische Leistungen
Arzt-Patienten-Kommunikation	Kommunikation zwischen behandelnder und behandelter Person; behandlungsbezogene Kommunikation
Arzt-Patienten-Verhältnis	ärztliches Vertrauensverhältnis; medizinisches Behandlungsverhältnis
Arztpraxis	Praxis für ...-medizin (z.B. Praxis für Allgemeinmedizin); ärztliche Praxis
Arzttermin	Behandlungstermin; Vorsorgetermin; ärztlicher Termin
Arztwahl	Wahl des ärztlichen Fachpersonals
Arztzeugnis	ärztliches Zeugnis
Arztzimmer	Behandlungszimmer; Konsultationszimmer; Sprechzimmer; Zimmer/Raum; Büro Ärztliches Personal
Asket	asketisch lebende Person
Aspirant	bewerbende Person
Assessor	sachverständige Person; taxierende Person; einschätzende Person; schadensachverständige Person
Assessoren	Sachverständige; Taxierende; Einschätzende; Schadensachverständige
Assistent	Assistenz
Assistenzarzt	Person in fachärztlicher Weiterbildung; ärztliches Fachpersonal in Weiterbildung
Astronaut	ins Weltall reisende Person
Astronauten	Weltraumreisende; Menschen im All
Asylbewerber (pl.)	Asylsuchende; Personen im Asylverfahren
Atheist	atheistische Person; religionsfreie Person; nichtgläubige Person; irreligiöse Person; glaubenslose Person; areligiöse Person
Athlet	sporttreibende Person; 
Athleten	Sporttreibende; Wettkämpfende; 
Attentäter (sg.)	Person, die ein Attentat verübt
Auditor	auditdurchführende Person
Auftraggeber (pl.)	Auftraggebende; auftraggebende Personen; in Auftrag gegeben von ...
Auftragnehmer (sg.)	einen Auftrag entgegennehmende / annehmende Person
Auftragnehmer (pl.)	Auftragnehmende
Augenoptiker (Geschäft mit Werkstatt)	Optikfachgeschäft
Augenzeuge	beobachtende Person
Augenzeugen	Beobachtende
Aupairmädchen	Aupair
Ausbilder (sg.)	ausbildender Betrieb; Lehrkraft
Ausbildungsbewerber (sg.)	eine Ausbildung suchende Person
Ausländer (sg.)	Person aus dem Ausland; Person nichtdeutscher Herkunft; ausländische Person; Person mit anderer Staatsangehörigkeit
Ausländerbehörde	Migrationsamt/-stelle; Zuwanderungsamt/-stelle
Außenseiter (pl.)	Randständige
Aussiedler (sg.)	ausgesiedelte Person
Aussiedler (pl.)	ausgesiedelte Personen
Ausstatter	ausstattende Person
Aussteiger [aus einer Szene]	[aus einer Szene] aussteigende Person
Aussteller (sg.)	ausstellende Person; ausstellende Institution
Aussteller (pl.)	Präsentierende; Ausstellende
Ausstellerausweis	Ausweis der Ausstellenden; Ausweis der ausstellenden Person
Ausstellerliste	Liste der Ausstellenden; Ausstellendenliste
Auswanderer (sg.)	auswandernde Person; ausgewanderte Person
Auswanderer (pl.)	Auswandernde; Ausgewanderte
Ausweisinhaber	Ausweis inhabende Person
Auszubildender (sg.)	Nachwuchskraft; Person in Ausbildung; auszubildende Person; lernende Person
Auszubildende (pl.)	[im Plural ist dieses Wort schon gendergerecht]
Autofahrer (sg.)	Auto fahrende Person; Auto führende Person; Person am Steuer
Autofahrer (pl.)	Autofahrende; Personen am Steuer
Autohersteller (pl.)	Automobilkonzerne; Autoherstellende; Autobauende
Autor	bücherschreibende Person
Autorenschaft; Urheberrechtsinhabende; Verfassende; Schreibende; Literaturschaffende; wissenschaftlich Publizierende;
Autoren	Auktorierende Erläuterung eines Users: 'Autor' kommt von lat. 'Auktor' und meinte historisch v.a. den sozialen Akt des Verbürgens gegenüber Individuen oder einem
Kollektiv. Spricht man von 'Schreibenden', fehlt der Aspekt des Sprechakts des Schreibens bzw. Veröffentlichens.
Azubi	Nachwuchskraft; Person in Ausbildung; auszubildende Person; lernende Person
Babysitter (sg.)	Aufsichtsperson; babysittende Person; Kinderbetreuung
Babysitter (pl.)	Babysittende
Bachelor of ...	B.A. / B. Sc. / ...
... Sie ist Bachelor of Arts in Geschichte.	... Sie hat den Bachelor of Arts in Geschichte.
Bachelorand	studentische Stelle zur Anfertigung der Bachelorarbeit
Bäcker (sg.)	Backwaren produzierende Person; Gebäck herstellende Person; Bäckerei
Bäcker (pl.)	Backende; im Backgewerbe Tätige; professionell Backende
Bademeister	Badeaufsicht
Bankkaufmann	Bankkaufperson
Bankräuber (pl.)	Bankausraubende
Barkeeper	Bar-Servicekraft; Servicekraft (an) der Bar
Bauarbeiter	Bauarbeiten ausführendes (Fach-)Personal
Bauern	Landwirtschaft Betreibende; landwirtschaftlich Beschäftigte; Beschäftigte in der Landwirtschaft; bäuerliche Bevölkerung [historischer Kontext]
Bauernhof	landwirtschaftlicher Betrieb
Bauernkrieg	Krieg der landbewirtschaftenden Bevölkerung
Bauherr	den Bau in Auftrag gebende Person; Auftraggebende Person / Instanz
Bauherren	Bauverantwortliche; Bauleute; den Bau in Auftrag gebende Personen
... Angebot für private Bauherren	... Angebot für privat Bauende
Bauherrschaft; Bauvorhabensschaft	Bauleute; Auftraggebende
Bauingenieur	für die Baukonstruktion verantwortliche Person; für die Bauplanung verantwortliche Person
Baumpfleger	Baumpflege
Bauträger (sg.)	für den Bau verantwortliche Firma
Bauträger (pl.)	Bautragende; Bauverantwortliche
Beamter (sg.)	verbeamtete Person; Person im Beamtenstatus
Beamte (pl.)	Bedienstete; Beamtenschaft
Beamtenlaufbahn	verbeamteter Werdegang; Laufbahn im öffentlichen Dienst mit Aussicht auf Verbeamtung
Bearbeiter (sg.)	den Vorgang betreuende Person; zuständige Person
Beauftragter (sg.)	beauftragte Person
... Sicherheits- / Datenschutz- / ...-beauftragter	... beauftragte Person für Sicherheit / Datenschutz / ...
Bediener (sg.)	bedienende Person
... Bediener einer technischen Anlage	... eine technische Anlage bedienende Person
Bediensteter (sg.)	bedienstete Person
Befrager	befragende Person; Person, die befragt (hat)
Befragter	befragte Person; Person, die befragt wurde
Befürworter (sg.)	befürwortende Person; zustimmende Person; Zustimmung
Befürworter (pl.)	Unterstützung; Zustimmende; Mitwirkende; Befürwortende
Begleiter	Begleitung
Behinderter	Mensch mit Behinderung; Mensch mit Beeinträchtigung
Beisitzer (pl.)	Beisitzende
Bekannter	Person aus dem Bekanntenkreis; (mir) bekannte Person; Bekanntschaft
bemannt	besetzt; mit Personen besetzt; astronautisch
... Raumfahrt mit Besatzung;
... bemannte Raumfahrt
... astronautische Raumfahrt; kosmonautische Raumfahrt; taikonautische Raumfahrt	im Gegensatz zu robotischer Raumfahrt
bemuttern	fürsorglich sein; verhätscheln; umsorgen
Benutzer (sg.)	anwendende Person; nutzende Person
Benutzer (pl.)	Anwendende; Nutzende; Personen(-gruppen)
benutzerdefiniert	maßgeschneidert; speziell; passgenau; individuell einstellbar; spezifisch; selbstdefiniert
Benutzerentscheidung	individuelle Entscheidung; Einzelfallentscheidung; persönliche Einstellung
Benutzerfehler	Anwendungsfehler
benutzerfreundlich	praktisch / leicht zu bedienen; bedienungsfreundlich; benutzungsfreundlich
Benutzerfreundlichkeit	Nutzungsfreundlichkeit; Benutzungsfreundlichkeit; Anwendungskomfort; Anwendungsfreundlichkeit
Benutzerfunktion	zielgruppengerechte Funktion; nutzenorientierte Funktion
Benutzerkonto	Account; Konto; Zugang; Profil
Benutzername	Anmeldename; Nickname; Pseudonym; Login-Name; Login
Benutzeroberfläche	Bedienoberfläche; Benutzungsoberfläche
Benutzerordnung	(Be-)Nutzungsordnung
Benutzerportal	Benutzungsportal
Benutzerrechte	Benutzungsrechte
Benutzerschnittstelle	Interaktionsschnittstelle
Benutzerverwaltung	Kontoverwaltung; Zugangsverwaltung
Beobachter (pl.)	Beobachtende
Beobachtergruppe	Beobachtendengruppe
Berater (sg.)	beratende Person; die Beratung erfolgt durch ... ; Sie werden beraten von ...
Berater (pl.)	Beratende
Beratertätigkeit	beratende Tätigkeit; Beratung
Beraterverzeichnis	Verzeichnis beratender Personen
Berechtigter	berechtigte Person
Bergführer	bergführende Person; für Bergführung qualifizierte Person; eine Bergtour leitende Person
bergmännisch	im Bergbau tätig
... bergmännische Hohlräume	... Altbergbau
Bergsteiger (pl.)	Bergbegeisterte; Bergsteigende
Berichterstatter (sg.)	Bericht erstattende Person
Berichterstatter (pl.)	Berichtende
Berliner (pl.)	die Berliner Bevölkerung
Berufsanfänger (pl.)	Berufsunerfahrene; Berufseinsteigende
Berufskraftfahrer (sg.)	qualifizierte fahrzeugführende Person (nach BKrFQG)
Berufskraftfahrer (pl.)	Berufskraftfahrende Begriff wird z.B. von TÜV Nord offiziell benutzt
Berufsschüler (pl.)	Auszubildende; Beruflernende; eine Berufsschule Besuchende; an einer Berufsschule Lernende
Beschäftigter (sg.)	Arbeitskraft; beschäftigte Person; angestellte Person; Person im Beschäftigungsverhältnis
Beschäftigte (pl.)	[dieser Begriff ist im Plural bereits genderneutral]
Beschuldigter	beschuldigte Person
Beschwerdeführer (pl.)	Beschwerdeführende
Besitzer (sg.)	besitzhabende Person
Bestatter	Fachkraft für Bestattungen
Besitzer von Immobilieneigentum (sg.)	Immobilien besitzende Person
Besteller (sg.)	bestellende Person; Kundschaft
Besucher (pl.)	Publikum; Besuche; Besuchende
Besucheranschrift	Besuchsanschrift
Besuchergruppe	Besuchsgruppe
Besuchermagnet	Publikumsmagnet; Besuchsmagnet; Tourismusmagnet; Anziehungspunkt; Sehenswürdigkeit
Besucherparkplatz	Besuchsparkplatz
Besucherrückgang	sinkende Nachfrage; Rückgang der Besuche; … wurde weniger frequentiert als im Jahr zuvor …
Besucherstrom	Publikumsstrom
Besucherzahl	Besuchszahl; Frequentierung; Klickzahl; Interesse; Inanspruchnahme; Gästezahlen
Besucherzahlen	Besuchszahlen; Frequentierung; Klickzahlen; Interesse; verkaufte Tickets; Gästezahlen
Betrachter (pl.)	Betrachtende
Betreiber (sg.)	Betriebsgesellschaft; betreibende Firma; Betrieb
... Der Netzbetreiber fordert ...	... Von Seiten des Netzbetriebs wird ... gefordert.
Betreiber (pl.)	Betreibende
Betreuer (sg.)	Betreuungsperson
Betreuer (pl.)	Betreuungspersonal
Betriebsarzt	Betriebsärztlicher Dienst
Betriebsrat	Mitglied des Betriebsrates s. dazu auch FAQ Muss ich Betriebsrat gendern?
Betriebsräte	Mitglieder des Betriebsrates; der Betriebsrat; Mitarbeitendenvertretung; der Personalrat s. dazu auch FAQ Muss ich Betriebsrat gendern?
Betriebswirt	betriebswirtschaftende Person
Betroffener (sg.)	betroffene Person; Opfer
Betrüger (sg.)	unehrliche Person
Bevollmächtigter	bevollmächtigte Person
Bewahrer (sg.)	bewahrende Person
Bewerber (sg.)	sich bewerbende Person
Bewerber (pl.)	Bewerbende; sich bewerbende Personen
Bewerbermangel	Mangel an Bewerbungen; Mangel an Bewerbenden; mangelnde Bewerbungen
Bewerberzahlen	Bewerbungszahlen
Bewohner (pl.)	in ... Lebende; in ... lebende Menschen; Ortsansässige; Bewohnende; Bewohnerschaft
Bewohnerzimmer	Bewohnendenzimmer; Zimmer
Bezieher [von Leistungen] (pl.)	Beziehende
Bieter (sg.)	bietende Partei; bietende Person
Bildungsträger (pl.)	Bildungstragende
Biografieträger (pl.)	Biografietragende
Blindenführer	Guide für blinde Menschen; Blindenguide; Begleitung für blinde Menschen; Mobilitätshilfe
Blockwart	Gebietsaufsicht; Blockaufsicht
Blogger (pl.)	bloggende Personen; Personen, die einen Blog schreiben
Blumenmädchen	Blumenkind
Bogenschütze	Bogenschießende Person
Bote	Botschaft überbringende Person
Botschafter	Spitze des Diplomatischen Corps; Repräsentanz
Brandschutzbeauftragter	beauftragte Person für Brandschutz
Brautpaar	Hochzeitspaar; verlobtes Paar
Briefträger	Briefzustellung; Postzustellung
Brillenträger	Personen mit Brille
Bruder / Schwester	Geschwister, das; Geschwisterkind
... Wie alt ist dein Bruder / deine Schwester?	... Wie alt ist dein Geschwister(kind)?
Brüder und Schwestern	Geschwister; Geschwisterkinder
Brüderlichkeit	Mitmenschlichkeit; Solidarität; Geschwisterlichkeit
Buhmann	Feindbild; schuldige Person; Zielscheibe; (Sündenbock)
Buddhisten	Menschen buddhistischen Glaubens
Bundeskanzler	(oberste) Führungskraft der Bundesregierung; Leitung der Bundesregierung; erste Führungsperson der Bundesregierung
Bundespräsident	deutsches Staatsoberhaupt; Staatsoberhaupt einer Bundesrepublik; Person, die die Bundespräsidentschaft inne hat
Bundespräsidentenwahl	Bundespräsidentschaftswahl; BP-Wahl
Bundestagspräsident	Bundestagsvorsitz
Bürge	bürgende Person
Bürger (sg.)	Mitglied des Staates / der Stadt; dem Staat zugehörige Person; Mitmensch; rat-/hilfe-/unterstützungssuchende Person [im Verwaltungskontext]; Individuum;Einzelperson; einzelner Mensch innerhalb der Bevölkerung; bürgerliche Person [historischer Kontext]
Bürger (pl.)	Bevölkerung; Einwohnerschaft; (Kommunal-)Wahlberechtigte; Staatsangehörige; Einheimische; im Ort/in der Stadt ... Wohnende; Stimmberechtigte; allgemeine Öffentlichkeit; breites Publikum; bürgerliche Bevölkerung; Bürgerschaft; Bürgertum
Bürgeramt	Amt; Gemeindeamt; Verwaltung
Bürgerbeteiligung	Direkte Demokratie; Beteiligung der Bevölkerung; Öffentlickeitsbeteiligung
Bürgerbüro	(städtisches/kommunales) Service Center/Servicebüro; Stadtteilbüro; Stadtbüro; Nachbarschaftbüro; Gemeindebüro; Kommunalbüro; Informationsbüro (für Anwohnende); Büro für bürgerliche Belange; Informationsstelle (für Ratsuchende)
Bürgerhaus	Gemeindehaus; Stadthaus; Kulturzentrum; Stadtteilzentrum; selbstverwaltetes Zentrum
Bürgerkrieg	Volkskrieg; innerer Krieg/Konflikt
Bürgermeister (sg.)	Stadtoberhaupt; Verwaltungsleitung; Oberhaupt einer Kommune
Bürgermeisterkandidat	Kandidatur für das Amt des Stadtoberhaupts
bürgernah	serviceorientiert; bedürfnisorientiert; publikumsorientiert; menschenorientiert; im Kontakt
... bürgernahe Verwaltung	... serviceorientierte Verwaltung; menschenorientierte Verwaltung; Verwaltung im Kontakt mit den Menschen; Verwaltung auf Augenhöhe
Bürgernähe	Volksnähe; Bevölkerungsnähe
Bürgerrat	Volksrat; Menschenrat; Bewohnendenrat; bürgerlicher Rat; Bevölkerungsrat
Bürgerrechte	Rechte des deutschen (oder anderer Staaten) Staatsvolkes
Bürgersteig	Gehweg; Fußweg
Bürgervertretung	Vertretung der Öffentlichkeit
Bürgerwissenschaft	Citizen Science;
Bürgerzentrum	Kulturzentrum; Stadtteilzentrum; selbstverwaltetes Zentrum
Bürokrat	bürokratische Person; bürokratisch veranlagte Person
Busfahrer (sg.)	Busführung; busführende Person; Busfahrpersonal; Buspersonal
Callcenter Agent	telefonische Beratung der Kundschaft
Callcenteroperator	Callcenteroperierende Person
Callcenteroperatoren (pl.)	Callcenteroperierende
Camper (sg.)	campende Person; zeltende Person; Zeltplatzmensch; Camping liebende Person
Case-Manager (pl.)	Case-Management; Case-Managende
Chauffeur	Fahrdienst
Chef	vorgesetzte Person; Leitungsperson; Leitung; Kopf (eines Unternehmens / einer Abteilung); Führungskraft
Chefs	Vorgesetzte; Leitung
Chefarzt	Ärztliche Leitung; Ärztliche Klinikleitung
Chefarztbehandlung	chefärztliche Behandlung
Chefsache	Sache mit oberster Priorität; Angelegenheit mit besonderer Wichtigkeit; dringliche Sache
Chemiker (sg.)	Fachkraft für Chemie
Chirurg	chirurgische Fachkraft; chirurgische Fachperson; ärztliche Fachkraft der ...-Chirurgie
Chirurgen	chirurgisches Fachpersonal
Chirurgenstahl	Chirurgiestahl
Christen	Menschen christlichen Glaubens
Chorleiter (sg.)	Chorleitung
Chorleiter (pl.)	Chorleitende; Chorleitungen
Coach	Begleitung; Beratung; coachende Person
Coder	codende Person
Cousins	Geschwister 2. Grades
Cyber-Erpresser	Cyber-Erpressung
... Gewappnet sein gegen Cyper-Erpresser	... Gewappnet sein gegen Cyper-Erpressung
Dahergelaufener (bayrisch)	dahergelaufende Person
Damenfahrrad	Trapezrahmenfahrrad; Fahrrad mit tiefem Einstieg
damenhaft	fein
Damenprogramm	Begleitprogramm
Darsteller (sg.)	darstellende Person
... Kinderdarsteller (sg.)	... darstellende Person im Kindesalter; ... schauspielendes/darstellendes Kind
Darsteller (pl.)	Rollen; Besetzung; Darstellende
... Kinderdarsteller (pl.)	... Darstellende kindlichen Alters
Datenschutzbeauftragter	Fachperson für Datenschutz; Datenschutzverantwortlichkeit
Dekan	Leitung des Dekanats; Dekanat
Delegierter	delegierte Person
Demokraten	Demokratiebegeisterte; Demokratieüberzeugte; demokratisch eingestellte Personen
Demonstranten	Demonstrierende
derjenige, der...	diejenige Person, die ... ; die Person, die ...
Designer (pl.)	Designschaffende
Detektiv	(privat) ermittelnde Person; privat ermittelnde Person; nach Hinweisen suchende Person
Deutscher (sg.)	Person aus Deutschland; deutsche Person; Person mit deutscher Staatsangehörigkeit
Developer	Developing Person; Developing Employee
Dezernent	Dezernat leitende Person; Dezernatsleitung
Diabetiker	Mensch mit Diabetes; Diabetes erkrankte Person
Dichter	dichtende Person; poetische Person
Dieb	Eigentum entwendende Person; Langfinger
Diebe	Kriminelle; Langfinger
Dienstherr	Dienstaufsichtsperson; Dienstbehörde
Dienstherrengenehmigung	Genehmigung der vorgesetzten Führungskraft; Dienststellengenehmigung; behördliche Genehmigung
Dienstleister (sg.)	dienstleistende Person; dienstleistendes Unternehmen; Dienstleistungsunternehmen
Dienstleister (pl.)	Dienstleistende
Diplomat	Person im diplomatischen Dienst
Diplomingenieur	diplomierte technische Fachkraft
Direktor	Leitung [z.B. Schulleitung; Institutsleitung; Museumsleitung]
Dirigent	unter dem Dirigat von ...; unter Leitung von ...
Disponent	Disposition
DJ (sg.)	der/die DJ
Doktoranden	Promovierende
Doktorandenkolleg	Promotionskolleg; Promovierendenkolleg
Doktorarbeit	Promotion
Doktorvater/-mutter	Promotionsbetreuung; Vorsitz des Promotionskomitees
... Wer ist Ihr Doktorvater?	... Wer betreut Ihre Promotion? / ... Wer hat die Betreuung Ihrer Promotion inne?
Dokumenteninhaber	im Besitz von Dokumenten
Dolmetscher (sg.)	(simultan / konsekutiv) dolmetschende Fachkraft
Dönermann	Dönerimbiss; Dönerverkauf; Kebapverkauf; Dönerfachgeschäft; Dönerbude
Doppelgänger (sg.)	Double; Ebenbild; Doppelperson
Dozent	lehrende Person; Lehrkraft; Lehrperson; vortragende Person; Seminarleitung
Dozenten	Dozierende; Lehrpersonal; Lehrende
